1,Heping,Baratã,9/18/2017,true,43,86
2,Ichinoseki,Sukasari,12/25/2017,true,21,50
3,Las Higueras,Richmond,3/18/2018,true,21,88
4,Novospasskoye,Borovo,1/8/2018,true,1,63
5,Sosnówka,Pakxong,10/11/2017,true,26,77
6,Río Cauto,Santa Teresita,1/4/2018,false,5,15
7,Wantou,Tamansari,10/13/2017,false,1,92
8,Täby,Kerep Wetan,7/29/2018,true,44,81
9,Andahuaylillas,Sendai-shi,10/15/2017,true,36,26
10,Firenze,Frösön,3/30/2018,false,34,56
11,João Câmara,Pohbango,1/17/2018,false,27,12
12,El Cardo,Gandusari,7/12/2018,true,20,25
13,Lenchwe Le Tau,Beizheng,8/19/2017,false,31,31
14,Caieiras,Kapuan,8/13/2017,false,49,77
15,Mekarsari,Pasirdalem,12/31/2017,false,44,81
16,Xindeng,Shadui,12/8/2017,false,10,36
17,Candoso,Gimbi,7/17/2018,true,8,53
18,Wenheng,Furudate,5/3/2018,false,3,71
19,Jindong,Radvanice,5/12/2018,true,15,98
20,Pasongsongan,Trelleborg,1/10/2018,true,31,3
21,Shangsanji,Menggala,7/9/2018,true,8,75
22,Hrvace,Campo de la Cruz,10/9/2017,false,46,84
23,Ubatã,Burgau,10/5/2017,true,11,1
24,Rasskazovo,Vallentuna,9/14/2017,true,26,32
25,Santa Lucia,Sidomukti,10/12/2017,true,37,71
26,Baler Baleagung,Guihuaquan,2/1/2018,true,45,15
27,Zengguang,Jiuxian,3/6/2018,true,3,43
28,Baiguan,La Garenne-Colombes,10/8/2017,true,3,71
29,Alcala,Shanmei,1/14/2018,false,26,58
30,Balboa,Rogów,9/24/2017,true,9,20
31,Olyka,Itajuípe,2/7/2018,true,20,32
32,Abangay,Chekhov,11/28/2017,true,50,99
33,Sarvaš,Zibu,11/17/2017,false,36,40
34,Wufeng,Blizne,12/24/2017,false,9,69
35,Newark,Vysokogornyy,7/14/2018,false,36,41
36,Ngepoh Kidul,Ramat Gan,3/16/2018,false,34,31
37,Calabugao,Tuanshansi,10/2/2017,true,6,11
38,Compostela,Sobinka,1/12/2018,false,9,55
39,Gaotang,Tsimlyansk,3/31/2018,false,14,44
40,Lalupon,Kimberley,2/17/2018,false,18,64
41,Saint Louis,Oumiao,8/3/2018,true,7,96
42,Labuhanjambu,La Sebala du Mornag,11/21/2017,true,1,40
43,Caqu,Zharkent,12/21/2017,false,20,36
44,Tomaszów Lubelski,Lainqu,3/19/2018,false,41,85
45,Cibunar,Ban Nahin,5/13/2018,true,38,71
46,Jajarkrajan,Belajen,4/28/2018,true,46,54
47,Beigong,Klimovsk,10/18/2017,false,35,34
48,Cape Coast,Stavanger,4/20/2018,true,10,7
49,Bailingnao,Daxinshao,5/3/2018,false,4,5
50,Niterói,Lovran,11/24/2017,true,16,23
51,Duut,Tysmenychany,5/30/2018,false,27,9
52,Paris La Défense,Frydrychowice,3/26/2018,false,45,78
53,Mestre,Guadalupe Victoria,8/22/2017,false,7,30
54,Port-à-Piment,Miskolc,11/10/2017,false,17,29
55,Saint-Quentin-en-Yvelines,Supu,7/31/2018,true,38,39
56,Tidaholm,Bến Cầu,11/29/2017,true,20,14
57,Frontignan,Blagoevgrad,4/8/2018,false,29,8
58,Seixal,General Pico,8/10/2017,true,46,5
59,Castanheira,Sasolburg,6/18/2018,true,35,32
60,Rodhítsa,Kutamandarakan,8/23/2017,false,48,48
61,Tanqiao,Sanjiazi,7/9/2018,false,47,15
62,Potosí,Denver,5/10/2018,true,28,80
63,Kalibo (poblacion),Bokong Timur,3/29/2018,false,47,35
64,Nanmu,Gelan,12/13/2017,true,27,72
65,Muara Dua,Radocza,5/16/2018,false,4,49
66,Saint Paul,Changqiao,11/19/2017,true,42,24
67,Strasbourg,Lis,2/2/2018,false,14,93
68,Ayolas,Kunsan,3/28/2018,false,41,94
69,Powidz,Dalududalu,8/31/2017,false,20,74
70,Prochnookopskaya,Lucapa,2/7/2018,false,35,60
71,Yunga,Ciawitali,9/17/2017,true,8,11
72,Singa,Lascano,10/23/2017,false,22,68
73,Ilyich,Wates,8/4/2018,true,6,91
74,Infonavit,Jiulonggang,1/22/2018,false,45,38
75,Ramenki,Babakanlapang,11/20/2017,false,41,100
76,Jessore,Castanheira,3/17/2018,true,27,81
77,Nagano-shi,Gniechowice,10/24/2017,true,40,78
78,Blumenau,Hachinohe,2/20/2018,false,9,51
79,Luocun,Kediri,7/12/2018,false,7,100
80,Aydūn,Meruge,9/7/2017,false,11,39
81,Molave,Stockholm,3/25/2018,false,5,55
82,Jiangyi,Mae Sai,3/31/2018,true,17,23
83,Campo Belo,Ţūlkarm,9/6/2017,true,34,10
84,Ōno-hara,Diapaga,5/3/2018,false,38,23
85,Avignon,Aileu,10/8/2017,true,38,70
86,Glamoč,Bongandanga,7/24/2018,false,33,94
87,Indianapolis,Itabira,12/27/2017,true,19,91
88,Wangsi,Sukorejo,9/21/2017,true,36,7
89,Khorugh,Lok,10/16/2017,false,28,17
90,Mont-Laurier,Suzhou,6/9/2018,true,16,83
91,Rosetta,Duraznopampa,9/16/2017,true,14,13
92,Shaoguan,Karatsu,9/11/2017,true,23,1
93,Colonia Elisa,Prior Velho,5/21/2018,false,23,71
94,Pak Kret,Diffa,12/30/2017,false,23,78
95,Courelas Bravas,Xiyuan,11/30/2017,false,26,84
96,Port Colborne,Changning,12/27/2017,true,3,81
97,San Fernando,Lampa,1/13/2018,false,11,78
98,Haoshui,Kudusan,7/14/2018,true,21,32
99,São João dos Montes,Kanye,4/25/2018,false,18,6
100,Orós,Barranco de Loba,9/24/2017,true,12,87
